Name,Subcategory 1,Category,Image,Store,Price,Description,Weight
"Напиток ""COCA-COLA"" 1 л",Напитки,Напитки,/images/drinks_coke_1.jpg,Galmart,145,"Состав: вода, сахар, диоксид углерода, краситель (сахарный колер), регулятор кислотности (ортофосфорная кислота), натуральные ароматизаторы, консервант, кофеин. Энергетическая ценность 42ккал. Хранить в темном и прохладном месте. Срок хранения 6 месяцев. Торговая марка: Кока-кола Страна Производитель: Россия",1 л
"Напиток ""COCA-COLA"" 1 л",Напитки,Напитки,/images/drinks_coke_1.jpg,Ramstore,146,"Состав: вода, сахар, диоксид углерода, краситель (сахарный колер), регулятор кислотности (ортофосфорная кислота), натуральные ароматизаторы, консервант, кофеин. Энергетическая ценность 42ккал. Хранить в темном и прохладном месте. Срок хранения 6 месяцев. Торговая марка: Кока-кола Страна Производитель: Россия",1 л
"Напиток ""COCA-COLA"" 0,5 л",Напитки,Напитки,/images/drinks_coke_0-5.jpg,Green,89,"Состав: вода, сахар, диоксид углерода, краситель (сахарный колер), регулятор кислотности (ортофосфорная кислота), натуральные ароматизаторы, консервант, кофеин.  Энергетическая ценность 42ккал. 
Хранить в темном и прохладном месте. Срок хранения 6 месяцев.
Торговая марка: Кока-кола. Страна Производитель: Россия",0.5 л
"Напиток ""COCA-COLA"" 0,5 л",Напитки,Напитки,/images/drinks_coke_0-5.jpg,Magnum,85,"Состав: вода, сахар, диоксид углерода, краситель (сахарный колер), регулятор кислотности (ортофосфорная кислота), натуральные ароматизаторы, консервант, кофеин.  Энергетическая ценность 42ккал. 
Хранить в темном и прохладном месте. Срок хранения 6 месяцев.
Торговая марка: Кока-кола. Страна Производитель: Россия",0.5 л
"Напиток ""COCA-COLA"" 0,5 л",Напитки,Напитки,/images/drinks_coke_0-5.jpg,Galmart,90,"Состав: вода, сахар, диоксид углерода, краситель (сахарный колер), регулятор кислотности (ортофосфорная кислота), натуральные ароматизаторы, консервант, кофеин.  Энергетическая ценность 42ккал. 
Хранить в темном и прохладном месте. Срок хранения 6 месяцев.
Торговая марка: Кока-кола. Страна Производитель: Россия",0.5 л
"Напиток ""COCA-COLA"" 0,5 л",Напитки,Напитки,/images/drinks_coke_0-5.jpg,Ramstore,92,"Состав: вода, сахар, диоксид углерода, краситель (сахарный колер), регулятор кислотности (ортофосфорная кислота), натуральные ароматизаторы, консервант, кофеин.  Энергетическая ценность 42ккал. 
Хранить в темном и прохладном месте. Срок хранения 6 месяцев.
Торговая марка: Кока-кола. Страна Производитель: Россия",0.5 л
"Напиток ""PEPSI"" 1 л",Напитки,Напитки,/images/drinks_pepsi_1.jpg,Green,125,"Состав: очищенная питьевая вода, сахар, двуокись углерода, кофеин, натуральный ароматизатор ""Кола"", натуральные экстракты. Хранить: в сухом, прохладном месте при Т от 0 до 35'C. Энергетическая ценность: 50,7 ккал. Срок хранения: 12 месяцев.",1 л
"Напиток ""PEPSI"" 1 л",Напитки,Напитки,/images/drinks_pepsi_1.jpg,Magnum,120,"Состав: очищенная питьевая вода, сахар, двуокись углерода, кофеин, натуральный ароматизатор ""Кола"", натуральные экстракты. Хранить: в сухом, прохладном месте при Т от 0 до 35'C. Энергетическая ценность: 50,7 ккал. Срок хранения: 12 месяцев.",1 л
"Напиток ""PEPSI"" 1 л",Напитки,Напитки,/images/drinks_pepsi_1.jpg,Galmart,125,"Состав: очищенная питьевая вода, сахар, двуокись углерода, кофеин, натуральный ароматизатор ""Кола"", натуральные экстракты. Хранить: в сухом, прохладном месте при Т от 0 до 35'C. Энергетическая ценность: 50,7 ккал. Срок хранения: 12 месяцев.",1 л
"Напиток ""PEPSI"" 1 л",Напитки,Напитки,/images/drinks_pepsi_1.jpg,Ramstore,125,"Состав: очищенная питьевая вода, сахар, двуокись углерода, кофеин, натуральный ароматизатор ""Кола"", натуральные экстракты. Хранить: в сухом, прохладном месте при Т от 0 до 35'C. Энергетическая ценность: 50,7 ккал. Срок хранения: 12 месяцев.",1 л
"Напиток ""PEPSI"" 2 л",Напитки,Напитки,/images/drinks_pepsi_2.jpg,Green,229,"Состав: очищенная питьевая вода, сахар, двуокись углерода, кофеин, натуральный ароматизатор ""Кола"", натуральные экстракты. Хранить: в сухом, прохладном месте при Т от 0 до 35'C. Энергетическая ценность: 50,7 ккал. Срок хранения: 12 месяцев.",2 л
"Напиток ""PEPSI"" 2 л",Напитки,Напитки,/images/drinks_pepsi_2.jpg,Magnum,215,"Состав: очищенная питьевая вода, сахар, двуокись углерода, кофеин, натуральный ароматизатор ""Кола"", натуральные экстракты. Хранить: в сухом, прохладном месте при Т от 0 до 35'C. Энергетическая ценность: 50,7 ккал. Срок хранения: 12 месяцев.",2 л
"Напиток ""PEPSI"" 2 л",Напитки,Напитки,/images/drinks_pepsi_2.jpg,Galmart,235,"Состав: очищенная питьевая вода, сахар, двуокись углерода, кофеин, натуральный ароматизатор ""Кола"", натуральные экстракты. Хранить: в сухом, прохладном месте при Т от 0 до 35'C. Энергетическая ценность: 50,7 ккал. Срок хранения: 12 месяцев.",2 л
"Напиток ""PEPSI"" 2 л",Напитки,Напитки,/images/drinks_pepsi_2.jpg,Ramstore,230,"Состав: очищенная питьевая вода, сахар, двуокись углерода, кофеин, натуральный ароматизатор ""Кола"", натуральные экстракты. Хранить: в сухом, прохладном месте при Т от 0 до 35'C. Энергетическая ценность: 50,7 ккал. Срок хранения: 12 месяцев.",2 л
